name,rating,genre,release_year,movie_runtime,imdb_link
It's a Wonderful Life,8.6,Feel-Good Romance / Holiday Family / Holiday Romance / Psychological Drama / Supernatural Fantasy / Drama / Family / Fantasy / Holiday / Romance / Family dynamics / Friendship / Heartfelt / Inspirational / Meaning of life / Nostalgic / Religious themes / Traditional values / Social commentary,1946,2h 10m,https://www.imdb.com/title/tt0038650/?ref_=chttp_t_21
The Silence of the Lambs,8.6,Police Procedural / Psychological Drama / Psychological Horror / Psychological Thriller / Serial Killer / Crime / Drama / Horror / Thriller / Atmospheric / Chemistry / Direction / Iconic lines / Iconic performance / Performance / Psychological depth / Suspenseful / Thrilling,1991,1h 58m,https://www.imdb.com/title/tt0102926/?ref_=chttp_t_22
Seven Samurai,8.6,Action Epic / Epic / Period Drama / Samurai / Action / Drama / Artistic vision / Authentic emotion / Character development / Cinematography / Enduring legacy / Historical accuracy / Musical score / Social commentary / Technical achievement,1954,3h 27m,https://www.imdb.com/title/tt0047478/?ref_=chttp_t_23
Saving Private Ryan,8.6,Epic / Period Drama / War Epic / Drama / War / Action sequences / Cinematography / Direction / Emotional weight / Iconic opening / Performance / Realism / Sound design / Technical achievement / Historical accuracy,1998,2h 49m,https://www.imdb.com/title/tt0120815/?ref_=chttp_t_24
City of God,8.6,Caper / Coming-of-Age / Gangster / Crime / Drama / Atmospheric / Authentic emotion / Character development / Cinematography / Direction / Realism / Narrative complexity / Social commentary / Survival / Thought-provoking,2002,2h 10m,https://www.imdb.com/title/tt0317248/?ref_=chttp_t_25
The Green Mile,8.6,Period Drama / Prison Drama / Supernatural Fantasy / Tragedy / Crime / Drama / Fantasy / Mystery / Dramatic tension / Emotional weight / Faith / Friendship / Thought-provoking / Adaptation / Social commentary / Supernatural themes,1999,3h 9m,https://www.imdb.com/title/tt0120689/?ref_=chttp_t_26
Life Is Beautiful,8.6,Period Drama / Romantic Comedy / Tragedy / Tragic Romance / Comedy / Drama / Romance / War / Authentic emotion / Comedic brilliance / Courage / Family dynamics / Heartfelt / Inspirational / Meaning of life / Uplifting / Historical accuracy,1997,1h 56m,https://www.imdb.com/title/tt0118799/?ref_=chttp_t_27
Terminator 2: Judgment Day,8.6,Action Epic / Artificial Intelligence / Cyberpunk / Dystopian Sci-Fi / Sci-Fi Epic / Time Travel / Action / Adventure / Sci-Fi / Action sequences / Character development / Direction / Emotional stakes / Performance / Special effects / Visual spectacle / Dystopian elements / Philosophical elements,1991,2h 17m,https://www.imdb.com/title/tt0103064/?ref_=chttp_t_28
Star Wars: Episode IV - A New Hope,8.6,Action Epic / Adventure Epic / Dystopian Sci-Fi / Epic / Fantasy Epic / Quest / Sci-Fi Epic / Space Sci-Fi / Sword & Sorcery / Action / Generational appeal / Production design / Realism / Special effects / Worldbuilding / Dubbing / Character development / Derivative / Dialogue,1977,2h 1m,https://www.imdb.com/title/tt0076759/?ref_=chttp_t_29
Back to the Future,8.5,High-Concept Comedy / Teen Adventure / Teen Comedy / Time Travel / Urban Adventure / Adventure / Comedy / Sci-Fi / Character development / Chemistry / Comedic brilliance / Generational appeal / Iconic lines / Iconic performance / Iconic score / Nostalgic,1985,1h 56m,https://www.imdb.com/title/tt0088763/?ref_=chttp_t_30
Spirited Away,8.6,Anime / Coming-of-Age / Fairy Tale / Hand-Drawn Animation / Quest / Supernatural Fantasy / Adventure / Animation / Family / Fantasy / Allegorical elements / Character development / Dreamlike / Inspirational / Mythic elements / Surreal / Symbolism / Traditional values / Visual spectacle / Worldbuilding,2001,2h 4m,https://www.imdb.com/title/tt0245429/?ref_=chttp_t_31
The Pianist,8.5,Docudrama / Epic / Period Drama / Tragedy / War Epic / Biography / Drama / Music / War / Atmospheric / Cinematography / Direction / Emotional weight / Historical accuracy / Performance / Production design / Realism / Survival,2002,2h 30m,https://www.imdb.com/title/tt0253474/?ref_=chttp_t_32
Gladiator,8.5,Action Epic / Adventure Epic / Epic / Period Drama / Sword & Sandal / Action / Adventure / Drama / Action sequences / Cinematography / Direction / Epic / Iconic performance / Iconic score / Visual spectacle / Historical accuracy,2000,2h 35m,https://www.imdb.com/title/tt0172495/?ref_=chttp_t_33
Parasite,8.5,Dark Comedy / Psychological Thriller / Tragedy / Drama / Thriller / Cinematography / Dark humor / Direction / Dramatic tension / Suspenseful / Narrative complexity / Social commentary / Symbolism / Thought-provoking,2019,2h 12m,https://www.imdb.com/title/tt6751668/?ref_=chttp_t_34
Psycho,8.5,Dark Comedy / Psychological Horror / Psychological Thriller / Slasher Horror / Suspense Mystery / Drama / Horror / Mystery / Thriller / Atmospheric / Cinematography / Direction / Enduring legacy / Iconic scene / Iconic score / Psychological depth / Standout performance / Suspenseful,1960,1h 49m,https://www.imdb.com/title/tt0054215/?ref_=chttp_t_35
The Lion King,8.5,Animal Adventure / Coming-of-Age / Hand-Drawn Animation / Jungle Adventure / Adventure / Animation / Drama / Family / Musical / Animation style / Character development / Emotional weight / Family dynamics / Generational appeal / Iconic soundtrack / Musical score / Adaptation,1994,1h 28m,https://www.imdb.com/title/tt0110357/?ref_=chttp_t_36
Grave of the Fireflies,8.5,Adult Animation / Anime / Hand-Drawn Animation / Period Drama / Tragedy / Animation / Drama / War / Animation style / Atmospheric / Authentic emotion / Family dynamics / Historical accuracy / Realism / Symbolism / Social commentary / Emotional weight,1988,1h 28m,https://www.imdb.com/title/tt0095327/?ref_=chttp_t_37
The Departed,8.5,Cop Drama / Epic / Gangster / Crime / Drama / Thriller / Dialogue / Direction / Performance / Standout performance / Suspenseful / Thrilling / Character development / Cinematography / Adaptation / Satisfying ending,2006,2h 31m,https://www.imdb.com/title/tt0407887/?ref_=chttp_t_38
Whiplash,8.5,Psychological Drama / Drama / Music / Ambitious / Authentic emotion / Character development / Cinematography / Dramatic tension / Editing / Inspirational / Performance / Emotional weight,2014,1h 46m,https://www.imdb.com/title/tt2582802/?ref_=chttp_t_39
Harakiri,8.6,Period Drama / Drama / Mystery / Authentic emotion / Cinematography / Direction / Historical accuracy / Morality / Narrative complexity / Symbolism / Social commentary,1962,2h 13m,https://www.imdb.com/title/tt0056058/?ref_=chttp_t_40
The Prestige,8.5,Period Drama / Steampunk / Tragedy / Drama / Mystery / Sci-Fi / Thriller / Ambitious / Cinematography / Direction / Performance / Character development / Dark tone / Narrative complexity / Unpredictable,2006,2h 10m,https://www.imdb.com/title/tt0482571/?ref_=chttp_t_41
